,lats,longs
124,25.2234975,73.7477857
125,24.585445,73.712479
126,23.841668,73.7146623
127,23.5461394,74.4349761
128,24.8887435,74.6269216
129,25.2138156,75.8647527
130,25.1011438,76.5131637
131,24.5973494,76.1609838
132,24.0316509,74.7787387
133,29.967079,77.5510172
134,29.4726817,77.7085091
135,29.3724422,78.1358472
136,28.8386481,78.7733286
137,28.7893041,79.0249516
138,28.7715965,78.3387066
139,28.9844618,77.7064137
140,28.9421618,77.2261452
141,28.6691565,77.4537578
142,28.338333,77.6077865
143,28.406963,77.8498292
144,27.8973944,78.0880129
145,27.6056212,78.0537813
146,27.4924134,77.673673
147,27.1766701,78.0080745
148,27.1591006,78.3957574
149,27.5587505,78.662567
150,27.2284986,79.0249516
151,28.0337088,79.1205419
152,28.3670355,79.4304381
153,28.6207939,79.8128649
154,27.883744,79.9122455
155,28.16514,80.6326916
156,27.5839037,80.666356
157,27.3986345,80.1316927
158,26.5393449,80.4878195
159,26.8466937,80.946166
160,26.2345298,81.2408689
161,27.4313399,79.4703885
162,27.0514156,79.9136731
163,26.8117116,79.0046898
164,26.4625957,79.5097549
165,26.526707,79.8296743
166,26.4148245,80.2321313
167,26.1270922,79.4703885
168,25.4484257,78.5684594
169,24.6878597,78.4120206
170,25.791305,80.0087746
171,25.4041196,79.8296743
172,25.4796224,80.3380213
173,25.1093692,81.0754657
174,25.8499808,80.8986502
175,25.8973038,81.9452981
176,25.5064864,81.4278984
177,25.4358011,81.846311
178,26.9400001,81.19
179,26.7732476,82.1441643
180,26.4683952,82.6915429
181,26.2647757,82.0727061
182,27.5708377,81.5980246
183,27.5977504,81.9534815
184,27.4308339,82.3017728
185,27.1339913,81.9618968
186,27.2715633,82.820974
187,26.8176796,82.7633133
188,26.7671755,83.0361376
189,27.1177463,83.5070203
190,26.7605545,83.3731675
191,26.7398787,83.8869698
192,26.4862373,83.7838214
193,26.0737044,83.1859458
194,25.9496379,83.5586445
195,25.7584381,84.1487319
196,25.7490034,82.6987002
197,25.5840419,83.5770202
198,25.1793639,83.2934086
199,25.3176452,82.9739144
200,28.5903614,78.5717631
201,25.1336987,82.5644344
202,24.4570238,82.9931607
203,25.38727,82.5680309
204,27.7951547,78.792953
205,26.1540538,81.814238
206,29.4507575,77.3152116
207,28.7305798,77.7758825
208,27.1543104,84.3542049
209,26.6098139,84.8567932
210,26.5145872,85.2942313
211,26.5952476,85.4808393
212,26.4627955,86.1751759
213,26.2899113,86.8220341
214,26.1108142,87.3016132
215,25.6843055,86.947388
216,25.7771391,87.4752551
217,25.5488415,87.6186379
218,25.8674343,86.9423801
219,25.8834961,86.6006249
220,26.111868,85.896004
221,26.1208876,85.3647201
222,26.4685472,84.4433318
223,26.2196205,84.3566593
224,25.8559698,84.8567932
225,25.6838206,85.354965
226,25.8629679,85.7810263
227,25.416675,86.1293792
228,25.4838168,86.7013894
229,25.3478004,86.9824288
230,24.8874179,86.919838
231,25.3747561,86.4735251
232,25.1673614,86.0988253
233,25.0847746,85.8895551
234,25.2621826,85.4788065
235,25.5940947,85.1375645
236,25.466155,84.5222189
237,25.5647103,83.9777482
238,25.0426227,83.6055732
239,25.0685878,84.0167423
240,25.1515827,84.981754
241,24.7457189,84.3804888
242,24.7954523,84.999431
243,24.7425589,85.520024
244,24.764688,86.3376761
